Memory Value
8C04402C	00004000
20054030	00004004
20064044	00004008
08001012	0000400C
00000000	00004010
00000000	00004014
00000000	00004018
00000000	0000401C
00000000	00004020
00000000	00004024
00000000	00004028
00000005	0000402C
00000064	00004030
000000C8	00004034
0000012C	00004038
00000190	0000403C
000001F4	00004040
000003E8	00004044
00004020	00004048
10800006	0000404C
00000020	00004050
8CA90000	00004054
01094020	00004058
20A50004	0000405C
2084FFFF	00004060
08001013	00004064
ACC80000	00004068
00000000	0000406C
00000000	00004070
00000000	00004074
00000000	00004078
00000000	0000407C
00000000	00004080
00000000	00004084
00000000	00004088
00000000	0000408C
00000000	00004090
00000000	00004094
00000000	00004098
00000000	0000409C

Register Value
00000000	0
00000000	1
00000000	2
00000000	3
00000000	4
00004044	5
00004044	6
00000000	7
000003E8	8
000001F4	9
00000000	10
00000000	11
00000000	12
00000000	13
00000000	14
00000000	15
00000000	16
00000000	17
00000000	18
00000000	19
00000000	20
00000000	21
00000000	22
00000000	23
00000000	24
00000000	25
00000000	26
00000000	27
0000C000	28
0000FFFC	29
00000000	30
